carre;annee;espece;abond
60015;2002;STRTUR;0
60015;2003;STRTUR;0
60015;2004;STRTUR;0
60015;2005;STRTUR;0
60085;2002;STRTUR;0
60233;2005;STRTUR;0
60233;2007;STRTUR;0
60233;2008;STRTUR;0
60233;2009;STRTUR;0
60733;2013;STRTUR;0
60733;2014;STRTUR;0
60733;2016;STRTUR;0
60733;2017;STRTUR;0
60733;2018;STRTUR;2
60798;2011;STRTUR;0
60798;2012;STRTUR;0
60798;2013;STRTUR;0
60798;2014;STRTUR;0
60805;2012;STRTUR;0
60805;2013;STRTUR;0
60805;2014;STRTUR;0
60867;2002;STRTUR;0
60867;2003;STRTUR;0
60867;2004;STRTUR;0
60867;2005;STRTUR;0
60867;2006;STRTUR;0
60867;2007;STRTUR;0
60867;2008;STRTUR;0
60867;2009;STRTUR;0
60867;2010;STRTUR;0
60867;2011;STRTUR;0
60867;2012;STRTUR;0
60867;2014;STRTUR;0
60895;2003;STRTUR;0
60895;2004;STRTUR;0
60895;2005;STRTUR;0
60895;2006;STRTUR;0
60895;2007;STRTUR;0
60895;2008;STRTUR;1
60895;2009;STRTUR;5
60895;2010;STRTUR;2
60895;2011;STRTUR;0
60895;2013;STRTUR;0
60915;2002;STRTUR;2
60915;2004;STRTUR;0
60915;2005;STRTUR;0
60915;2009;STRTUR;0
60964;2003;STRTUR;0
60966;2002;STRTUR;0
60966;2003;STRTUR;0
60966;2005;STRTUR;1
60984;2002;STRTUR;0
60984;2003;STRTUR;0
60984;2004;STRTUR;0
60984;2005;STRTUR;0
60984;2006;STRTUR;0
60984;2007;STRTUR;0
60984;2008;STRTUR;1
60984;2009;STRTUR;0
60984;2010;STRTUR;4
60984;2011;STRTUR;1
60984;2012;STRTUR;0
60984;2013;STRTUR;2
60984;2014;STRTUR;2
70033;2014;STRTUR;2
70033;2015;STRTUR;0
70033;2016;STRTUR;0
70033;2017;STRTUR;0
70033;2018;STRTUR;0
70037;2014;STRTUR;0
70037;2015;STRTUR;0
70037;2016;STRTUR;0
70037;2017;STRTUR;2
70037;2018;STRTUR;0
70039;2006;STRTUR;0
70039;2007;STRTUR;0
